employee_id,gender,age,department,work_model,sleep_hours_avg,work_hours_avg,meeting_hours_avg,breaks_per_day,distractions_per_hour,years_experience,remote_tenure,job_level,team_size,tasks_completed_weekly,response_time_avg,delivery_rate_pct,system_engagement_pct,work_life_balance_ratio,productivity_index,performance_rating,turnover_risk,is_high_turnover,salary
E001,Female,35.0,Sales,Remote,7.0,6.67,1.63,1.47,5.33,1.0,1.0,1,18,44,19.8,92.8,63.8,0.5458357076505617,56.8,53.5,0.479,1,50846.7170236169
E002,Male,34.0,Sales,Remote,7.11,6.08,2.21,2.78,3.96,14.0,3.2,5,13,54,12.4,78.2,61.8,0.6840867849414408,61.4,60.1,0.309,1,58931.87493113868
E003,Female,39.0,Support,Hybrid,6.93,9.55,2.29,1.63,2.73,8.0,1.0,4,6,47,10.8,80.6,66.7,0.5073844269050346,58.8,60.4,0.525,0,54265.73109915455
E004,Female,35.0,Management,Remote,6.49,8.42,3.83,2.67,4.94,13.0,2.0,2,4,37,19.0,77.7,53.3,0.41415149282040126,57.3,58.4,0.662,1,50280.94178129423
E005,Female,43.0,IT,In-office,5.76,6.03,2.4,2.77,1.0,14.0,0.4,5,5,49,9.5,84.0,62.5,0.7762923312638332,59.9,57.3,0.212,0,62289.803585562266
E006,Male,37.0,Marketing,In-office,7.25,6.55,3.2,2.29,2.33,7.0,1.1,3,7,49,15.9,79.4,62.8,0.774293152152541,54.7,52.6,0.214,0,65448.5497970425
E007,Male,35.0,Marketing,Hybrid,6.42,10.01,2.12,3.23,2.57,20.0,3.1,2,14,44,22.0,86.1,60.1,0.4869606407753696,52.1,51.1,0.592,0,49037.13871185222
E008,Female,31.0,Management,In-office,6.74,7.33,3.87,2.61,1.9,4.0,2.5,3,18,42,20.8,88.8,61.7,0.7523717364576454,54.0,54.9,0.286,0,60992.86154493612
E009,Female,31.0,HR,Hybrid,7.25,7.91,2.4,2.87,3.21,14.0,2.7,4,17,46,15.7,72.5,66.9,0.5835262807032524,67.4,72.2,0.393,0,58570.8868951357
E010,Male,37.0,Support,In-office,6.35,7.0,2.36,2.73,0.94,8.0,1.3,5,6,45,13.8,82.2,64.3,0.7941280021792982,62.1,61.0,0.233,0,64553.31650217625
E011,Male,38.0,Support,Hybrid,6.88,7.65,2.82,2.07,3.88,16.0,1.1,2,18,51,20.0,84.3,60.7,0.548829115359377,68.9,68.9,0.428,0,59294.84463426667
E012,Male,40.0,Support,Hybrid,6.82,7.6,3.12,1.7,2.26,5.0,2.7,4,10,47,18.8,76.5,65.6,0.6417135123214872,61.7,59.8,0.335,1,56576.07372448639
E013,Male,36.0,Sales,Hybrid,6.73,7.35,3.25,2.72,4.07,11.0,1.6,4,19,44,19.4,83.4,64.5,0.5330981135783017,62.2,64.1,0.479,0,51027.657487793134
E014,Male,42.0,IT,Hybrid,6.58,7.65,2.09,2.58,2.39,10.0,0.9,5,7,43,20.5,87.8,60.3,0.5433359877671101,59.3,60.6,0.361,0,63003.03046569553
E015,Female,30.0,Management,In-office,6.85,9.8,2.99,2.56,2.54,12.0,0.0,5,15,54,15.3,87.2,64.3,0.3767541083743483,49.9,49.0,0.537,0,54886.94203593877
E016,Male,38.0,Support,In-office,7.01,8.85,3.31,3.34,3.32,8.0,1.4,4,8,46,18.0,82.9,66.7,0.4798856235379514,65.2,65.0,0.492,1,52994.54039033034
E017,Male,47.0,Sales,Hybrid,7.3,8.26,2.02,4.1,3.22,6.0,4.9,3,13,37,14.4,83.7,66.2,0.5863584439832789,58.4,61.0,0.363,0,63763.45592656757
E018,Male,46.0,Sales,Hybrid,6.55,7.99,1.26,1.71,1.96,6.0,2.1,5,6,53,18.8,77.7,55.3,0.6467123666297637,60.9,59.1,0.369,1,59277.02390287857
E019,Male,49.0,Support,In-office,6.06,12.0,3.05,2.23,2.55,6.0,0.6,3,12,40,16.4,76.9,53.2,0.18559879622393943,63.2,66.2,0.769,1,50467.89155219148
E020,Male,47.0,HR,Remote,6.88,8.77,3.22,4.68,3.4,7.0,2.5,5,13,60,13.9,86.3,56.0,0.42838481493323544,55.7,55.3,0.501,0,55172.555444230326
E021,Male,43.0,Sales,Hybrid,7.13,8.95,2.85,1.45,2.85,11.0,0.1,2,7,38,20.1,81.7,72.3,0.6072824384460778,60.2,59.7,0.466,1,62202.24377464596
E022,Female,38.0,HR,In-office,6.57,8.55,2.71,2.1,2.93,5.0,1.9,4,11,52,19.9,86.0,60.9,0.5047111849756732,61.5,59.9,0.484,1,60746.02252732962
E023,Female,41.0,HR,In-office,6.38,8.84,2.14,3.14,1.24,0.0,0.0,4,16,48,23.5,78.7,62.2,0.6113764102343962,58.2,56.3,0.392,0,57493.10755456278
E024,Female,37.0,Support,In-office,6.67,9.58,3.27,1.2,4.16,0.0,0.0,3,17,53,16.4,88.8,56.5,0.2577625906893271,56.2,56.2,0.671,1,52784.712852863064
E025,Male,46.0,IT,Hybrid,7.29,8.5,2.51,2.48,4.1,9.0,3.1,3,4,41,13.8,77.8,61.6,0.49278086377374086,50.1,50.7,0.48,1,57536.127848755445
E026,Male,39.0,IT,In-office,6.72,7.21,1.41,2.12,2.31,12.0,1.1,2,5,36,19.8,76.9,74.4,0.7275461294854932,61.3,64.9,0.278,0,65765.89467259705
E027,Male,31.0,HR,Remote,7.02,6.53,3.08,3.85,7.91,3.0,3.0,5,19,53,12.5,93.8,49.7,0.2434503211288849,46.1,45.9,0.699,1,46135.229618259684
E028,Male,42.0,Marketing,Hybrid,6.69,8.49,2.22,2.55,3.2,6.0,1.8,3,17,46,21.8,75.4,65.8,0.5167849009172836,56.5,55.8,0.502,0,56998.15437999532
E029,Female,42.0,Marketing,In-office,6.77,8.84,1.79,0.5,2.69,6.0,1.1,1,11,43,24.0,75.0,69.2,0.49196806550405975,63.4,66.1,0.478,0,58835.273460548764
E030,Female,37.0,IT,Hybrid,7.73,5.85,2.47,1.62,3.14,15.0,0.7,5,8,55,13.5,73.4,66.7,0.7904153125103361,61.4,61.7,0.195,0,58873.781540730655
E031,Female,35.0,Sales,Hybrid,7.06,8.31,2.48,2.01,3.64,7.0,2.2,5,8,42,14.9,76.6,61.6,0.5119146693885301,56.8,58.2,0.458,1,52710.224462002676
E032,Female,43.0,IT,In-office,6.06,8.07,2.28,2.6,3.37,15.0,0.0,5,13,50,15.2,83.3,65.9,0.5476139092254468,63.4,63.6,0.545,0,47532.3034667197
E033,Male,50.0,Support,Hybrid,6.05,8.26,3.9,1.19,4.45,7.0,1.3,5,15,54,8.0,80.9,64.3,0.3483251387631033,51.2,50.6,0.651,1,49661.77949666633
E034,Female,24.0,Sales,Remote,7.03,6.41,1.91,3.08,5.5,9.0,4.3,3,5,40,18.3,80.6,60.0,0.455114453552205,58.8,61.7,0.492,0,57392.62676738789
E035,Female,43.0,Management,Hybrid,7.44,9.51,3.84,2.67,3.55,10.0,0.8,5,16,60,18.3,76.3,58.6,0.4991272456051594,58.4,59.0,0.542,1,58247.07115628808
E036,Female,39.0,Sales,Remote,5.93,8.27,2.43,3.34,4.87,1.0,1.0,5,18,50,20.9,82.4,59.9,0.24395781750144893,58.0,57.4,0.695,1,49372.28434125933
E037,Female,39.0,Sales,Remote,8.03,8.17,2.59,3.12,4.72,10.0,2.7,1,6,47,15.1,77.5,59.9,0.5584431797502378,64.4,61.1,0.452,0,61325.846636713875
E038,Female,37.0,Marketing,Remote,7.49,7.93,1.86,3.17,3.58,10.0,2.8,2,4,37,19.4,74.5,58.4,0.5250164938060112,60.7,64.0,0.377,1,54549.69562535533
E039,Female,35.0,Support,Hybrid,7.5,7.58,1.96,3.04,4.52,11.0,1.1,1,6,35,20.8,78.4,61.5,0.5385906975550785,55.3,56.5,0.395,0,53039.852681934535
E040,Male,45.0,Management,Remote,7.02,7.2,2.36,2.62,4.52,7.0,2.3,1,5,50,12.0,77.3,61.5,0.5558430617934562,59.2,59.6,0.454,0,56213.356903310145
E041,Male,41.0,HR,Remote,7.18,10.28,2.46,3.39,3.47,5.0,2.4,4,7,47,19.3,88.6,45.9,0.4139233289997705,72.7,71.2,0.623,0,52462.196346817924
E042,Male,43.0,Marketing,Hybrid,7.0,9.68,1.64,1.47,2.86,3.0,2.4,5,8,56,20.0,80.7,68.0,0.4685684140594985,54.4,53.9,0.54,0,53701.915755717724
E043,Female,38.0,Sales,Remote,6.66,10.87,1.15,3.29,3.69,10.0,1.9,5,5,49,10.2,74.4,66.6,0.26621758588058797,67.7,73.8,0.728,1,41957.67369988037
E044,Male,45.0,HR,Hybrid,7.56,9.84,2.43,3.46,2.39,13.0,0.5,5,14,52,15.4,86.6,57.2,0.5279448152205355,69.4,70.8,0.457,0,56022.63988146163
E045,Female,29.0,IT,Remote,7.11,7.78,1.72,3.62,2.73,9.0,1.9,5,14,52,12.2,82.2,60.5,0.5870739004816287,72.7,75.3,0.339,1,55916.59149848544
E046,Male,45.0,Marketing,Hybrid,7.8,8.34,2.2,2.26,1.29,6.0,0.6,1,8,39,20.4,79.8,54.2,0.7460077895802646,63.9,65.2,0.218,0,65469.017646490116
E047,Male,29.0,Sales,Hybrid,7.85,8.7,2.01,3.21,3.38,2.0,0.5,2,12,41,16.1,74.2,65.7,0.5719680614520106,58.4,58.3,0.405,0,58949.79473829055
E048,Female,42.0,Marketing,Remote,6.7,10.0,2.03,3.33,4.16,12.0,4.5,3,12,47,7.3,84.3,48.1,0.35385611131094585,59.2,53.5,0.699,0,46210.360641017935
E049,Female,37.0,Marketing,Hybrid,6.72,7.57,1.97,0.5,1.39,6.0,2.1,3,13,42,15.1,71.0,60.3,0.740180914478423,59.7,60.5,0.277,0,60148.39924798992
E050,Female,41.0,Management,Remote,7.11,6.86,3.3,2.81,3.73,7.0,3.1,3,9,48,17.0,73.8,66.7,0.5388479922318633,68.0,67.9,0.373,0,55632.35943433314
E051,Male,45.0,Sales,Hybrid,7.07,6.85,1.52,0.87,2.26,8.0,2.0,1,5,43,17.6,84.8,64.7,0.7792041984697398,60.8,60.4,0.237,0,62701.96270818049
E052,Female,36.0,Sales,Remote,6.79,7.5,2.32,2.98,3.44,9.0,1.8,1,6,41,14.6,80.7,63.5,0.6217458859791842,64.8,69.9,0.359,0,62095.42696150371
E053,Male,31.0,Management,In-office,6.23,7.62,3.05,1.96,1.82,14.0,0.1,2,18,40,24.1,85.4,62.8,0.6351538999847021,62.4,60.1,0.331,0,57112.82186099337
E054,Male,35.0,HR,Hybrid,6.84,8.05,1.95,1.37,3.7,10.0,3.2,5,14,46,12.7,78.7,65.3,0.5365838144420434,59.5,59.9,0.494,0,56692.13954655353
E055,Female,37.0,HR,Remote,6.7,6.75,2.24,4.07,5.35,14.0,2.6,5,7,63,10.0,83.3,57.0,0.5415499761247975,58.5,60.6,0.51,1,53109.22714488268
E056,Female,36.0,Sales,In-office,6.43,6.94,2.78,2.28,3.33,9.0,0.0,2,14,42,15.8,87.2,64.4,0.6675640059558099,54.8,57.1,0.379,1,56251.381503212964
E057,Female,31.0,Support,Remote,7.97,8.81,2.81,2.54,2.58,15.0,2.4,2,10,35,23.0,80.6,60.8,0.6210391238388681,68.9,67.5,0.337,0,59568.908920136324
E058,Female,38.0,HR,Hybrid,6.68,8.89,2.69,1.45,3.43,3.0,3.0,1,15,44,22.8,73.5,68.7,0.42853938120743923,55.9,56.4,0.556,1,50214.273032741876
E059,Female,39.0,Sales,Remote,6.74,7.38,2.58,3.33,3.16,10.0,3.9,2,15,52,17.6,86.2,63.0,0.6355631715701782,64.0,62.0,0.381,0,56909.05208395846
E060,Female,33.0,Management,Remote,8.3,7.78,4.16,3.48,3.08,15.0,3.7,5,5,57,12.1,89.6,66.4,0.803777256356118,62.8,66.5,0.245,0,59056.36632223346
E061,Male,44.0,Support,Remote,7.25,9.19,3.13,2.42,4.92,13.0,3.4,5,11,55,11.1,81.4,66.2,0.32604128810773547,60.0,62.0,0.65,1,56394.17539874917
E062,Male,44.0,Marketing,Remote,7.37,7.28,3.23,2.73,4.87,8.0,2.7,5,9,61,20.5,81.9,67.0,0.5487170511668092,58.5,55.8,0.442,0,56845.79065591519
E063,Male,38.0,Management,In-office,6.95,7.12,3.53,1.78,1.85,6.0,0.6,2,11,48,24.0,73.4,58.2,0.6806832512996985,62.1,67.1,0.264,1,59980.82347602224
E064,Male,35.0,Sales,Hybrid,6.98,8.98,3.57,3.32,3.28,15.0,2.1,5,7,48,17.4,85.3,56.5,0.43418966879596643,68.2,69.9,0.506,1,55461.93973220266
E065,Female,41.0,Management,Remote,6.62,7.69,3.83,3.03,6.43,2.0,2.0,4,5,47,19.5,74.0,70.6,0.33962629111970993,51.3,45.6,0.701,0,48633.01585092751
E066,Female,40.0,Marketing,Hybrid,6.16,7.47,2.7,2.4,3.52,7.0,2.7,2,16,46,18.1,71.2,51.4,0.5998120014285412,59.7,61.1,0.468,0,55297.09120140033
E067,Male,32.0,Sales,Remote,7.68,6.32,2.97,3.5,3.28,25.0,3.4,3,4,52,13.9,82.2,61.0,0.7573994939209833,58.7,57.4,0.239,0,64672.50010013027
E068,Male,32.0,Management,Hybrid,8.04,8.59,3.62,3.7,1.98,14.0,2.4,5,6,42,13.1,82.9,61.2,0.8231766448946012,65.3,67.5,0.227,0,65462.52313014191
E069,Female,35.0,IT,In-office,5.88,7.48,2.48,2.99,2.31,11.0,0.0,5,14,43,16.8,74.6,67.4,0.6220818012523817,54.5,50.2,0.396,0,56528.496557168415
E070,Female,40.0,IT,In-office,7.73,8.81,2.56,3.38,2.48,14.0,0.6,1,13,42,19.4,80.1,54.7,0.6367440122697439,56.5,58.0,0.331,1,58342.54527806596
E071,Male,32.0,HR,Remote,7.05,5.62,2.73,2.22,3.68,11.0,1.0,1,15,45,26.9,73.3,60.4,0.7490697802754207,57.1,54.2,0.269,0,61104.84490854507
E072,Male,41.0,Management,Hybrid,7.6,7.14,4.09,2.59,3.99,10.0,1.3,1,4,45,20.5,85.5,69.6,0.7129018283232985,62.9,64.4,0.364,1,52174.23650579325
E073,Male,43.0,IT,Remote,7.08,8.91,2.22,2.89,4.82,0.0,0.0,3,17,47,17.8,75.8,64.9,0.3622086980445024,52.3,53.8,0.636,0,46374.426813404345
E074,Female,38.0,IT,In-office,6.52,7.47,1.99,3.56,2.07,13.0,0.0,1,8,46,17.3,87.7,65.0,0.7512321827907004,67.9,71.1,0.327,0,64290.62280233357
E075,Female,37.0,HR,Hybrid,6.23,6.68,2.36,0.98,3.76,12.0,0.9,3,19,42,21.1,71.4,56.5,0.4230127447955128,46.6,47.0,0.446,0,61554.903140503855
E076,Male,44.0,Sales,Hybrid,6.62,8.79,2.85,2.31,2.83,0.0,0.0,5,15,48,18.6,79.1,51.6,0.5580951252187613,65.5,68.5,0.483,1,54762.89188133086
E077,Female,42.0,IT,In-office,7.17,7.56,2.44,2.2,3.75,16.0,0.1,1,13,40,23.0,79.5,63.9,0.5793523534119085,53.8,58.9,0.425,1,58979.6708891673
E078,Female,31.0,Management,In-office,7.12,7.7,2.99,3.76,2.93,9.0,0.0,3,9,43,16.0,78.5,50.7,0.6440496324767067,64.6,65.4,0.341,0,60703.75046363061
E079,Male,38.0,Support,Remote,7.23,5.68,2.55,2.52,4.27,9.0,4.1,4,11,47,16.0,84.4,65.8,0.7045880388267751,68.2,70.1,0.3,1,70236.64242536572
E080,Female,37.0,Sales,Remote,6.96,8.97,1.99,3.6,2.24,10.0,3.4,5,19,52,12.3,74.4,76.5,0.48362155426995534,68.1,67.8,0.417,0,60848.72473430373
E081,Female,42.0,IT,In-office,5.93,6.93,2.73,2.17,3.32,11.0,0.6,2,5,43,18.3,80.5,55.4,0.5380164056081244,50.0,50.7,0.451,1,56086.2472255577
E082,Female,43.0,Management,Remote,7.71,6.27,4.22,2.81,4.25,13.0,4.4,1,15,44,24.5,80.5,63.3,0.7428556285755873,65.4,66.8,0.275,0,58883.37867819872
E083,Female,28.0,Sales,Hybrid,7.25,5.98,2.54,1.17,4.2,10.0,3.1,1,19,38,21.5,79.9,52.7,0.7558947022370758,63.2,60.3,0.318,1,55640.661039227285
E084,Female,50.0,Support,Hybrid,7.3,7.23,2.59,2.82,3.26,4.0,2.5,2,19,37,18.5,79.1,52.1,0.6510864890863177,61.8,60.9,0.323,0,60920.39090760167
E085,Male,24.0,Sales,Hybrid,6.8,9.19,2.62,3.24,4.45,21.0,2.7,4,18,46,16.4,77.8,59.0,0.3065753198553406,61.5,62.8,0.653,0,48140.94776414709
E086,Female,33.0,HR,In-office,7.45,7.0,3.39,2.19,2.6,20.0,0.0,1,9,37,21.7,80.3,62.5,0.7559121478207732,65.8,65.5,0.219,0,59163.23887120698
E087,Male,51.0,IT,Remote,6.78,5.27,2.12,1.89,4.39,9.0,2.7,3,11,45,18.8,82.0,60.2,0.7237701058851036,53.8,55.4,0.322,0,58400.28134727242
E088,Female,40.0,Sales,Hybrid,6.42,5.76,2.72,2.57,1.55,9.0,1.2,4,8,56,19.2,79.0,80.0,0.8324375554829843,65.6,67.7,0.184,0,61235.355989156815
E089,Male,47.0,IT,Remote,6.39,7.54,1.74,2.66,4.48,10.0,2.5,2,16,47,12.7,82.8,67.5,0.4095119898116481,65.2,62.4,0.564,0,58141.4249052177
E090,Male,35.0,Marketing,Hybrid,6.94,7.84,1.73,2.48,4.19,14.0,0.0,1,19,44,16.2,70.0,54.0,0.5166633716556678,55.6,55.5,0.509,0,57374.91927084835
E091,Male,34.0,Management,Hybrid,7.03,7.44,3.63,3.14,4.09,13.0,2.9,3,4,41,26.2,92.5,62.6,0.5728538774674021,59.8,61.5,0.432,0,57016.082076050145
E092,Female,40.0,Sales,In-office,6.39,6.96,2.47,2.55,3.89,16.0,0.2,2,11,37,11.8,80.0,62.0,0.5874322495266444,41.7,45.6,0.461,0,60609.83241667008
E093,Male,29.0,IT,Remote,7.36,8.15,2.27,2.37,3.3,0.0,0.0,5,13,48,19.9,76.7,59.4,0.5988973453061324,60.5,60.6,0.366,0,59252.10492294285
E094,Male,34.0,Sales,Hybrid,7.9,6.82,1.26,3.72,2.84,6.0,1.9,5,12,49,16.4,84.6,59.5,0.7836168926701116,54.9,54.8,0.2,0,61416.14739601521
E095,Female,41.0,HR,Hybrid,7.88,8.04,3.14,1.13,3.58,12.0,0.9,4,8,39,21.2,75.4,69.9,0.6033945923433921,67.8,70.2,0.377,0,63259.37223180897
E096,Male,34.0,Sales,In-office,7.07,7.9,2.87,2.5,2.17,4.0,1.4,2,7,41,17.6,83.2,58.6,0.608824252593394,70.6,66.3,0.318,0,62076.73013105398
E097,Female,42.0,IT,Remote,6.44,7.05,2.95,3.54,3.37,0.0,0.0,3,6,49,21.7,86.1,73.6,0.6288060138532288,56.9,56.2,0.386,0,55308.26153702063
E098,Female,33.0,Support,Remote,7.15,9.23,3.06,1.6,2.75,7.0,4.6,5,9,62,15.1,85.6,63.1,0.5420527636089945,64.9,61.9,0.471,0,55298.983965749176
E099,Male,42.0,IT,Remote,7.05,6.81,2.65,3.39,3.32,14.0,2.0,2,17,41,17.7,76.3,54.5,0.704255672832123,62.7,64.5,0.296,0,58493.145239845726
E100,Male,45.0,Marketing,In-office,6.79,6.75,0.95,2.79,3.35,18.0,0.0,5,6,54,9.8,85.9,63.9,0.6312706433312427,55.5,57.4,0.357,1,55141.600807106995
E101,Male,29.0,IT,Hybrid,7.13,9.52,2.07,1.33,4.48,15.0,2.2,2,15,46,19.6,87.1,53.7,0.27823146289747924,56.7,58.0,0.651,0,53248.532642594924
E102,Male,36.0,Support,Remote,7.26,9.5,2.92,2.93,3.87,7.0,2.8,1,15,47,16.0,82.0,71.5,0.39196773386173206,56.9,59.9,0.587,0,58118.24992141039
E103,Female,32.0,Marketing,Remote,7.06,10.25,1.49,2.71,4.71,5.0,4.5,4,10,57,14.8,74.7,69.9,0.25686427417366153,55.1,54.7,0.726,1,44024.29727854257
E104,Female,38.0,Marketing,Hybrid,5.95,7.64,2.36,1.71,1.2,13.0,2.1,2,9,48,20.6,80.6,69.9,0.623886136538919,59.6,55.6,0.336,1,61608.90771007171
E105,Female,30.0,Marketing,Remote,7.08,8.24,2.37,2.89,4.67,7.0,3.9,1,8,41,15.7,74.6,52.1,0.4329357144166995,47.0,48.2,0.559,1,51278.07229263452
E106,Male,42.0,Sales,In-office,7.0,7.18,2.48,2.24,2.98,9.0,0.4,2,15,45,18.4,78.5,72.8,0.6732025428407269,55.6,55.9,0.347,0,58128.62384870591
E107,Female,38.0,Management,In-office,6.64,9.11,4.22,3.54,1.67,13.0,0.3,5,11,56,12.4,74.8,64.0,0.6693092950605265,62.7,64.6,0.425,1,55472.818227283395
E108,Female,35.0,IT,Hybrid,7.72,8.16,1.78,1.65,3.9,14.0,2.5,4,7,45,15.4,77.7,62.9,0.5757288906415919,64.2,67.7,0.433,0,54418.02769096055
E109,Female,37.0,Sales,In-office,6.57,5.98,1.93,2.62,3.36,8.0,1.2,3,11,42,17.8,71.9,50.9,0.6928775195361382,46.8,45.8,0.32,1,60545.56488383448
E110,Male,39.0,Management,Remote,7.01,8.88,3.24,3.46,5.9,9.0,4.1,2,15,43,11.9,69.8,57.9,0.2742777042116917,55.4,55.3,0.722,1,45847.149650766885
E111,Male,24.0,Support,Remote,7.01,7.65,2.74,2.31,4.72,12.0,3.9,5,5,59,7.0,85.8,62.3,0.37506143923504787,53.3,53.8,0.529,0,54941.370477339515
E112,Male,33.0,Support,Remote,6.53,7.34,2.92,2.6,3.55,14.0,2.1,4,19,43,12.6,72.2,69.7,0.5716743062275391,55.7,59.1,0.427,0,57039.285671652586
E113,Female,29.0,HR,Hybrid,7.31,7.52,2.83,2.06,4.55,6.0,2.8,2,14,37,21.0,83.0,58.1,0.5260115104970513,53.2,52.9,0.477,1,54973.15585940077
E114,Female,36.0,Management,In-office,5.88,6.45,3.25,2.95,4.41,7.0,1.1,4,10,50,15.5,82.1,43.9,0.6491621056242644,51.3,52.2,0.474,0,53057.30901387521
E115,Male,38.0,Management,In-office,7.69,7.0,4.21,2.34,0.0,4.0,0.0,5,19,46,14.8,86.0,64.5,0.9043819517609439,69.6,67.9,0.086,0,65689.686008295
E116,Female,47.0,Marketing,Hybrid,6.54,7.89,2.64,2.33,4.32,4.0,2.5,2,12,41,20.3,79.2,59.6,0.4650773671166806,48.4,45.4,0.55,1,55766.173677477265
E117,Male,36.0,HR,Hybrid,6.67,9.17,3.27,3.18,2.58,13.0,2.4,1,14,40,19.5,87.1,53.5,0.4992644115147378,65.1,68.7,0.499,0,56532.75156287314
E118,Female,29.0,Sales,Hybrid,6.67,8.71,3.38,2.89,3.71,13.0,3.1,4,7,56,13.4,85.8,62.3,0.3825660981190233,57.9,59.1,0.559,1,50297.334265604346
E119,Female,44.0,Marketing,In-office,6.98,8.91,2.35,3.17,3.78,7.0,0.6,1,11,37,20.6,80.5,50.3,0.525141140725751,57.3,52.1,0.532,1,54337.99691628768
E120,Male,35.0,Sales,In-office,7.24,9.19,2.63,2.15,2.27,11.0,0.0,5,8,52,14.9,80.2,73.2,0.6205966516343386,67.3,70.3,0.417,1,59744.16137011537
E121,Female,39.0,Management,In-office,7.1,8.21,3.65,2.61,1.64,15.0,0.0,5,11,44,18.0,84.3,67.1,0.7285515973521524,64.9,63.9,0.311,0,55661.784156635884
E122,Male,46.0,HR,Hybrid,8.04,7.67,2.18,1.7,2.79,18.0,1.3,3,8,36,17.5,82.8,73.5,0.7135306272602631,61.5,60.3,0.241,0,64400.08057713981
E123,Male,32.0,IT,Remote,6.9,9.66,1.99,4.99,4.4,13.0,2.1,5,18,47,13.3,71.6,68.0,0.41413971554680495,54.6,53.7,0.656,0,48332.12872316246
E124,Female,30.0,HR,Remote,7.97,6.84,2.88,3.6,5.19,18.0,2.9,3,9,53,15.8,82.4,56.2,0.5399074468603859,65.4,63.2,0.39,0,60011.79600577948
E125,Female,40.0,Marketing,Hybrid,7.74,8.57,2.81,3.7,4.08,0.0,0.0,4,15,47,18.0,81.7,60.9,0.5633428546900136,54.0,54.4,0.466,0,53730.22253037245
E126,Male,40.0,Marketing,In-office,6.44,8.59,2.03,1.29,2.85,12.0,0.3,3,5,49,19.5,75.6,59.0,0.604522781290499,57.8,51.3,0.505,0,49435.353698006445
E127,Female,34.0,Marketing,Remote,7.64,8.01,2.75,2.15,5.39,16.0,4.1,4,6,57,17.3,85.3,57.1,0.3924731837434655,61.5,63.7,0.558,1,48377.372686350514
E128,Female,28.0,Management,In-office,7.15,11.07,3.48,3.44,0.77,14.0,1.0,1,7,37,20.5,81.7,65.9,0.5166851135198613,68.3,68.9,0.455,0,56494.25483998415
E129,Male,33.0,Marketing,Hybrid,5.56,8.36,2.53,3.07,2.08,15.0,0.7,4,14,47,13.7,90.6,64.4,0.49898256825438203,55.0,55.6,0.506,0,55599.16750516445
E130,Female,47.0,HR,Remote,7.31,10.92,2.39,2.87,3.78,12.0,4.7,4,15,46,15.0,74.9,53.7,0.29082621729419,67.4,65.9,0.684,1,46767.05012468677
E131,Female,34.0,Management,Remote,7.45,9.2,3.86,2.83,4.19,5.0,4.8,4,7,44,16.8,79.4,63.9,0.38846682844669334,53.4,53.5,0.534,1,55895.777376332124
